"Tabela 616 - Pessoas de 10 anos ou mais de idade por grupos de idade, condição de atividade na semana de referência, sexo e situação do domicílio"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.";"Brasil e Município";"Situação do domicílio";"Grupo de idade";"Ano x Condição de atividade x Sexo"
"Cód.";"Brasil e Município";"Situação do domicílio";"Grupo de idade";"2010"
"Cód.";"Brasil e Município";"Situação do domicílio";"Grupo de idade";"Total";"Economicamente ativa";"Não economicamente ativa"
"Cód.";"Brasil e Município";"Situação do domicílio";"Grupo de idade";"Total";"Total";"Total"
"1";"Brasil";"Total";"15 a 19 anos";"16986788";"6868057";"10118731"
"1";"Brasil";"Total";"15 a 17 anos";"10353865";"3049087";"7304778"
"1";"Brasil";"Total";"15 anos";"...";"...";"..."
"1";"Brasil";"Total";"16 e 17 anos";"...";"...";"..."
"1";"Brasil";"Total";"18 e 19 anos";"6632922";"3818970";"2813952"
"1";"Brasil";"Total";"20 a 24 anos";"17240864";"12340456";"4900408"
"1";"Brasil";"Total";"25 a 29 anos";"17102917";"13337409";"3765509"
"1";"Brasil";"Total";"30 a 34 anos";"15744616";"12515943";"3228673"
"1";"Brasil";"Total";"35 a 39 anos";"13888191";"11036829";"2851362"
"1";"Brasil";"Total";"40 a 44 anos";"13008496";"10150631";"2857865"
"1";"Brasil";"Total";"45 a 49 anos";"11834647";"8877528";"2957119"
"1";"Brasil";"Total";"50 a 59 anos";"...";"...";"..."
"1";"Brasil";"Total";"50 a 54 anos";"10134322";"6917093";"3217229"
"1";"Brasil";"Total";"55 a 59 anos";"8284433";"4772323";"3512110"
"1";"Brasil";"Total";"60 a 69 anos";"11356075";"4152096";"7203979"
"1";"Brasil";"Total";"60 a 64 anos";"...";"...";"..."
"1";"Brasil";"Total";"65 a 69 anos";"...";"...";"..."
"3500105";"Adamantina (SP)";"Total";"15 a 19 anos";"2673";"1330";"1343"
"3500105";"Adamantina (SP)";"Total";"15 a 17 anos";"1563";"544";"1019"
"3500105";"Adamantina (SP)";"Total";"15 anos";"...";"...";"..."
"3500105";"Adamantina (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3500105";"Adamantina (SP)";"Total";"18 e 19 anos";"1110";"786";"325"
"3500105";"Adamantina (SP)";"Total";"20 a 24 anos";"2760";"2176";"584"
"3500105";"Adamantina (SP)";"Total";"25 a 29 anos";"2492";"2195";"297"
"3500105";"Adamantina (SP)";"Total";"30 a 34 anos";"2391";"2058";"333"
"3500105";"Adamantina (SP)";"Total";"35 a 39 anos";"2373";"1929";"444"
"3500105";"Adamantina (SP)";"Total";"40 a 44 anos";"2558";"2195";"363"
"3500105";"Adamantina (SP)";"Total";"45 a 49 anos";"2538";"1943";"595"
"3500105";"Adamantina (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3500105";"Adamantina (SP)";"Total";"50 a 54 anos";"2315";"1560";"755"
"3500105";"Adamantina (SP)";"Total";"55 a 59 anos";"1941";"1038";"902"
"3500105";"Adamantina (SP)";"Total";"60 a 69 anos";"2985";"1037";"1948"
"3500105";"Adamantina (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3500105";"Adamantina (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3500204";"Adolfo (SP)";"Total";"15 a 19 anos";"268";"115";"153"
"3500204";"Adolfo (SP)";"Total";"15 a 17 anos";"152";"49";"103"
"3500204";"Adolfo (SP)";"Total";"15 anos";"...";"...";"..."
"3500204";"Adolfo (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3500204";"Adolfo (SP)";"Total";"18 e 19 anos";"116";"66";"50"
"3500204";"Adolfo (SP)";"Total";"20 a 24 anos";"288";"227";"61"
"3500204";"Adolfo (SP)";"Total";"25 a 29 anos";"260";"200";"60"
"3500204";"Adolfo (SP)";"Total";"30 a 34 anos";"239";"185";"54"
