 Abastecimento de água - São Paulo
Domicílios por Município e Abastecimento de água
Período:2010
"Município";"Rede geral - sem informação de canalização";"Poço ou nascente - sem informação de canalização";"Outra forma - Poço ou nascente fora da propriedade";"Outra forma - Carro-pipa";"Outra forma - Água da chuva armazenada em cisterna";"Outra forma - Água da chuva armazenada outra forma";"Outra forma - Rio, açude, lago ou igarapé";"Outra forma - Poço ou nascente na aldeia";"Outra forma - Poço ou nascente fora da aldeia";"Outra forma - Outra";"Total"
"350010 Adamantina";10785;505;33;-;-;-;-;-;-;5;11328
"350020 Adolfo";1046;127;27;-;-;-;-;-;-;-;1200
"350030 Aguaí";8896;876;90;-;1;1;1;-;-;16;9881
"350040 Águas da Prata";2165;282;58;-;-;-;-;-;-;1;2506
"350050 Águas de Lindóia";5184;305;103;-;-;1;1;-;-;1;5595
"350055 Águas de Santa Bárbara";1425;289;17;87;-;-;2;-;-;51;1871
"350060 Águas de São Pedro";989;1;-;-;-;-;-;-;-;-;990
"350070 Agudos";9692;358;43;2;-;-;65;-;-;11;10171
"350075 Alambari";1098;395;26;-;-;-;1;-;-;5;1525
"350080 Alfredo Marcondes";1144;191;13;-;-;-;-;-;-;-;1348
"350090 Altair";933;244;4;-;-;-;1;-;-;1;1183
"350100 Altinópolis";4304;459;110;-;1;-;-;-;-;1;4875
"350110 Alto Alegre";1101;237;36;-;-;-;-;-;-;1;1375
"350115 Alumínio";4175;571;65;169;1;-;2;-;-;2;4985
"350120 Álvares Florence";977;425;26;-;-;-;-;-;-;-;1428
"350130 Álvares Machado";6536;836;41;-;-;-;1;-;-;7;7421
"350140 Álvaro de Carvalho";913;95;4;-;-;-;-;-;-;-;1012
"350150 Alvinlândia";826;75;8;-;-;-;1;-;-;-;910
"350160 Americana";66237;1161;122;106;-;1;1;-;-;12;67640
"350170 Américo Brasiliense";10175;97;11;-;-;-;-;-;-;1;10284
"350180 Américo de Campos";1694;250;31;-;-;-;-;-;-;1;1976
"350190 Amparo";17676;2130;680;47;1;-;9;-;-;3;20546
"350200 Analândia";1098;245;31;-;-;-;-;-;-;-;1374
"350210 Andradina";16960;913;156;42;-;-;-;-;-;9;18080
"350220 Angatuba";5673;1032;325;3;-;-;1;-;-;12;7046
"350230 Anhembi";1325;375;65;1;-;-;6;-;-;-;1772
"350240 Anhumas";953;180;20;-;-;-;-;-;-;1;1154
"350250 Aparecida";10154;140;35;1;-;-;5;-;-;8;10343
"350260 Aparecida d'Oeste";1305;242;5;-;-;-;-;-;-;1;1553
"350270 Apiaí";6112;738;515;1;1;-;84;-;-;115;7566
"350275 Araçariguama";3365;1076;464;20;2;-;6;-;-;5;4938
"350280 Araçatuba";58988;1392;184;2;1;2;15;-;-;30;60614
"350290 Araçoiaba da Serra";5498;2746;309;-;-;1;6;-;-;8;8568
"350300 Aramina";1540;75;11;-;11;2;1;-;-;9;1649
"350310 Arandu";1369;461;56;-;-;-;10;-;-;3;1899
"350315 Arapeí";588;174;33;-;-;-;-;-;-;1;796
"350320 Araraquara";67411;991;191;-;2;-;10;-;-;145;68750
"350330 Araras";35309;825;191;6;-;-;1;-;-;1;36333
"350335 Arco-Íris";382;239;21;-;-;-;-;-;-;1;643
"350340 Arealva";2042;579;40;-;-;-;-;-;-;-;2661
"350350 Areias";801;245;27;5;-;-;4;-;-;-;1082
"350360 Areiópolis";2931;84;4;3;-;-;-;-;-;6;3028
"350370 Ariranha";2450;127;110;-;1;-;-;-;-;3;2691
"350380 Artur Nogueira";11982;1044;443;-;1;-;1;-;-;8;13479
"350390 Arujá";19935;1235;127;36;-;39;10;-;-;54;21436
"350395 Aspásia";427;173;4;-;-;-;-;-;-;1;605
"350400 Assis";30088;949;54;-;1;3;1;-;-;15;31111
"350410 Atibaia";28908;8669;635;42;6;1;38;-;-;54;38353
"350420 Auriflama";4237;421;62;-;-;-;-;-;-;1;4721
"350430 Avaí";1057;335;36;-;-;-;-;133;1;-;1562
"350440 Avanhandava";2889;174;3;-;-;-;-;-;-;3;3069
"350450 Avaré";24679;1259;263;1;1;2;14;-;-;22;26241
"350460 Bady Bassitt";4357;309;43;-;-;-;1;-;-;-;4710
"350470 Balbinos";406;31;16;-;-;-;-;-;-;18;471
"350480 Bálsamo";2509;217;27;-;-;-;-;-;-;-;2753
"350490 Bananal";2578;454;228;-;-;-;21;-;-;2;3283
"350500 Barão de Antonina";764;161;90;-;-;-;9;-;-;1;1025
"350510 Barbosa";1776;246;29;-;-;-;-;-;-;-;2051
"350520 Bariri";9468;485;32;2;-;-;1;-;-;4;9992
"350530 Barra Bonita";11044;94;12;2;-;-;-;-;-;23;11175
"350535 Barra do Chapéu";746;514;303;-;-;-;3;-;-;5;1571
"350540 Barra do Turvo";1047;392;931;-;-;1;10;-;-;23;2404
"350550 Barretos";34679;1324;82;1;1;1;7;-;-;47;36142
"350560 Barrinha";8278;96;31;-;-;-;8;-;-;2;8415
"350570 Barueri";71260;224;90;27;2;-;6;-;-;181;71790
"350580 Bastos";5529;789;29;1;-;-;-;-;-;2;6350
"350590 Batatais";17028;666;45;-;-;-;-;-;-;1;17740
"350600 Bauru";108147;1298;261;33;2;1;6;-;-;127;109875
"350610 Bebedouro";22748;926;32;1;-;-;1;-;-;1;23709
"350620 Bento de Abreu";792;69;1;-;-;-;-;-;-;-;862
"350630 Bernardino de Campos";3162;307;21;-;-;-;2;-;-;1;3493
"350635 Bertioga";13086;125;52;7;2;2;150;-;-;1112;14536
"350640 Bilac";2202;183;7;-;-;-;-;-;-;-;2392
"350650 Birigui";34301;1139;178;1;-;1;3;-;-;9;35632
"350660 Biritiba-Mirim";5508;2716;126;2;2;5;20;-;-;21;8400
"350670 Boa Esperança do Sul";3808;300;9;-;-;4;27;-;-;1;4149
"350680 Bocaina";3089;199;13;8;-;-;2;-;-;-;3311
"350690 Bofete";2043;979;108;1;-;-;28;-;-;5;3164
"350700 Boituva";12927;1628;127;39;-;-;11;-;-;7;14739
"350710 Bom Jesus dos Perdões";5365;645;69;-;-;1;36;-;-;2;6118
"350715 Bom Sucesso de Itararé";665;90;229;-;-;1;4;-;-;2;991
"350720 Borá";188;48;2;-;-;-;1;-;-;-;239
"350730 Boracéia";1121;130;3;-;-;-;-;-;-;2;1256
"350740 Borborema";4259;463;52;-;-;-;-;-;-;-;4774
"350745 Borebi";615;56;18;11;-;-;-;-;-;1;701
"350750 Botucatu";39425;1206;328;4;1;1;13;-;-;124;41102
"350760 Bragança Paulista";39368;4721;605;2;3;2;13;-;-;38;44752
"350770 Braúna";1395;144;10;-;-;-;1;36;-;2;1588
"350775 Brejo Alegre";681;121;7;-;-;-;2;-;-;-;811
"350780 Brodowski";6171;189;22;-;-;-;1;-;-;2;6385
"350790 Brotas";6143;543;35;-;-;-;12;-;-;5;6738
"350800 Buri";4508;800;160;-;2;1;32;-;-;9;5512
"350810 Buritama";4775;339;65;-;-;-;9;-;-;2;5190
"350820 Buritizal";1114;234;25;-;-;-;-;-;-;-;1373
"350830 Cabrália Paulista";1198;143;2;-;-;-;-;-;-;37;1380
"350840 Cabreúva";10115;1631;148;1;-;-;1;-;-;13;11909
"350850 Caçapava";23088;1610;88;20;1;1;4;-;-;22;24834
"350860 Cachoeira Paulista";8440;463;138;-;-;-;4;-;-;23;9068
"350870 Caconde";3900;1351;418;3;3;-;5;-;-;11;5691
"350880 Cafelândia";4619;515;211;-;-;-;-;-;-;5;5350
"350890 Caiabu";1147;226;14;-;-;-;-;-;-;3;1390
"350900 Caieiras";24499;319;503;1;1;1;2;-;-;85;25411
"350910 Caiuá";920;254;442;-;-;-;-;-;-;6;1622
"350920 Cajamar";17493;1207;462;17;-;9;14;-;-;67;19269
"350925 Cajati";6740;940;583;-;1;1;186;-;-;23;8474
"350930 Cajobi";2859;233;12;-;-;-;-;-;-;1;3105
"350940 Cajuru";6354;723;123;-;7;-;1;-;-;1;7209
"350945 Campina do Monte Alegre";1520;244;41;-;-;1;-;-;-;2;1808
"350950 Campinas";341754;4547;1071;104;7;8;24;-;-;753;348268
