 Sistema de Informação de Atenção Básica - Situação de Saúde - São Paulo
Cr<4m AleitMatExclCr<4m Aleit Misto por Município
Período:Dez/2015
"Município";"Cr<4m_AleitMatExcl";"Cr<4m_Aleit_Misto"
"350010 Adamantina";17;2
"350020 Adolfo";6;-
"350050 Águas de Lindóia";15;3
"350080 Alfredo Marcondes";6;4
"350090 Altair";11;3
"350100 Altinópolis";24;14
"350130 Álvares Machado";39;16
"350140 Álvaro de Carvalho";3;-
"350150 Alvinlândia";4;-
"350190 Amparo";130;29
"350260 Aparecida d'Oeste";9;-
"350270 Apiaí";37;9
"350280 Araçatuba";186;83
"350290 Araçoiaba da Serra";14;1
"350300 Aramina";2;-
"350310 Arandu";14;3
"350315 Arapeí";8;-
"350320 Araraquara";156;24
"350330 Araras";55;9
"350340 Arealva";10;6
"350350 Areias";13;1
"350360 Areiópolis";28;5
"350380 Artur Nogueira";47;7
"350395 Aspásia";7;-
"350400 Assis";62;4
"350450 Avaré";49;13
"350470 Balbinos";6;-
"350520 Bariri";8;4
"350530 Barra Bonita";5;4
"350540 Barra do Turvo";6;1
"350580 Bastos";37;14
"350600 Bauru";149;47
"350610 Bebedouro";38;10
"350660 Biritiba-Mirim";47;35
"350720 Borá";2;1
"350730 Boracéia";13;-
"350740 Borborema";5;5
"350745 Borebi";6;-
"350760 Bragança Paulista";132;22
"350770 Braúna";1;3
"350775 Brejo Alegre";6;7
"350780 Brodowski";36;36
"350790 Brotas";12;7
"350820 Buritizal";1;1
"350850 Caçapava";105;17
"350860 Cachoeira Paulista";38;6
"350880 Cafelândia";17;15
"350890 Caiabu";11;-
"350910 Caiuá";10;-
"350920 Cajamar";72;3
"350925 Cajati";45;6
"350950 Campinas";66;20
"350970 Campos do Jordão";105;41
"350995 Canas";7;2
"351000 Cândido Mota";2;-
"351040 Capivari";38;7
"351050 Caraguatatuba";172;55
"351110 Catanduva";80;22
"351150 Cerquilho";64;4
"351190 Clementina";25;4
"351200 Colina";11;-
"351210 Colômbia";9;12
"351220 Conchal";21;9
"351230 Conchas";6;-
"351250 Coroados";15;2
"351300 Cotia";61;4
"351310 Cravinhos";16;1
"351320 Cristais Paulista";2;-
"351340 Cruzeiro";10;6
"351350 Cubatão";187;34
"351360 Cunha";42;5
"351370 Descalvado";43;20
"351385 Dirce Reis";3;-
"351430 Dourado";13;2
"351440 Dracena";4;2
"351450 Duartina";26;12
"351470 Echaporã";11;3
"351490 Elias Fausto";30;8
"351492 Elisiário";6;6
"351495 Embaúba";4;-
"351510 Embu-Guaçu";130;11
"351518 Espírito Santo do Pinhal";19;4
"351519 Espírito Santo do Turvo";14;1
"355730 Estiva Gerbi";15;9
"351530 Estrela do Norte";10;-
"351535 Euclides da Cunha Paulista";2;1
"351565 Fernão";5;-
"351580 Flora Rica";8;-
"351600 Flórida Paulista";23;4
"351650 Gabriel Monteiro";12;-
"351660 Gália";19;3
"351700 Getulina";-;3
"351710 Glicério";10;-
"351730 Guaimbê";17;4
"351780 Guaraçaí";8;2
"351790 Guaraci";11;-
"351800 Guarani d'Oeste";3;-
"351810 Guarantã";13;-
"351840 Guaratinguetá";44;9
"351850 Guareí";26;-
"351870 Guarujá";355;37
"351910 Iacanga";25;6
"351925 Iaras";6;2
"351930 Ibaté";16;8
"351950 Ibirarema";10;6
"351960 Ibitinga";3;-
"351990 Iepê";24;7
"352010 Igarapava";17;4
"352040 Ilhabela";96;4
"352050 Indaiatuba";120;37
"352060 Indiana";9;5
"352070 Indiaporã";12;3
"352080 Inúbia Paulista";17;1
"352110 Ipeúna";7;5
"352140 Iracemápolis";6;1
"352150 Irapuã";1;1
"352160 Irapuru";1;-
"352170 Itaberá";17;7
"352180 Itaí";15;9
"352190 Itajobi";25;8
"352200 Itaju";5;-
"352220 Itapecerica da Serra";128;12
"352230 Itapetininga";22;7
"352250 Itapevi";81;32
"352260 Itapira";136;3
"352265 Itapirapuã Paulista";7;5
"352290 Itapuí";26;8
"352310 Itaquaquecetuba";129;60
"352320 Itararé";69;21
"352330 Itariri";7;-
"352340 Itatiba";109;31
"352370 Itirapuã";7;3
"352410 Ituverava";73;18
"352420 Jaborandi";19;-
"352450 Jaci";3;1
"352480 Jales";59;14
"352500 Jandira";142;29
"352560 João Ramalho";14;5
"352590 Jundiaí";137;31
"352600 Junqueirópolis";34;1
"352610 Juquiá";9;3
"352620 Juquitiba";44;3
"352660 Lavrinhas";9;2
"352670 Leme";88;15
"352680 Lençóis Paulista";94;45
"352700 Lindóia";19;1
"352725 Lourdes";5;2
"352760 Luís Antônio";16;-
"352790 Lutécia";3;-
"352820 Macedônia";7;-
"352850 Mairiporã";72;21
"352870 Marabá Paulista";4;2
"352880 Maracaí";2;2
"352885 Marapoama";5;1
"352890 Mariápolis";6;2
"352910 Marinópolis";7;-
"352920 Martinópolis";34;6
"352930 Matão";44;5
"352960 Meridiano";10;4
"352965 Mesópolis";7;-
"353000 Mira Estrela";6;-
"352990 Miracatu";29;7
"353010 Mirandópolis";28;5
"353020 Mirante do Paranapanema";42;13
"353050 Mococa";45;16
"353060 Mogi das Cruzes";181;57
"353070 Mogi Guaçu";112;30
"353080 Mogi Mirim";81;22
"353090 Mombuca";9;4
"353100 Monções";2;-
"353160 Monte Castelo";5;1
"353180 Monte Mor";128;16
"353170 Monteiro Lobato";6;-
"353190 Morro Agudo";44;11
"353205 Motuca";18;5
"353210 Murutinga do Sul";5;7
"353215 Nantes";3;3
"353220 Narandiba";16;-
"353250 Neves Paulista";4;13
"353260 Nhandeara";13;6
"353284 Nova Canaã Paulista";5;1
"353310 Nova Guataporanga";3;-
"353370 Ocauçu";10;8
"353410 Oriente";22;4
"353440 Osasco";320;101
"353460 Osvaldo Cruz";37;8
"353470 Ourinhos";47;16
"353480 Ouro Verde";16;3
"353500 Palestina";6;2
"353520 Palmeira d'Oeste";4;5
"353540 Panorama";16;8
"353550 Paraguaçu Paulista";42;10
"353625 Parisi";2;-
"353640 Paulicéia";3;10
"353657 Paulistânia";2;3
"353670 Pederneiras";4;2
"353730 Penápolis";144;26
"353750 Pereiras";37;-
"353830 Piquerobi";-;1
"353850 Piquete";13;5
"353920 Pirapozinho";55;21
"353930 Pirassununga";95;14
"353940 Piratininga";7;-
"353980 Poá";116;19
"354000 Pompéia";46;17
"354010 Pongaí";2;1
"354025 Pontalinda";12;-
"354040 Populina";20;-
"354060 Porto Feliz";80;23
"354070 Porto Ferreira";22;3
"354075 Potim";18;7
"354085 Pracinha";5;1
"354130 Presidente Epitácio";43;6
"354140 Presidente Prudente";137;42
"354150 Presidente Venceslau";43;21
"354160 Promissão";30;6
"354170 Quatá";26;12
"354180 Queiroz";14;-
"354190 Queluz";25;12
"354200 Quintana";10;1
"354220 Rancharia";26;16
"354230 Redenção da Serra";4;-
"354240 Regente Feijó";47;5
"354260 Registro";43;9
"354270 Restinga";23;3
"354280 Ribeira";4;1
"354290 Ribeirão Bonito";22;4
"354300 Ribeirão Branco";52;16
"354310 Ribeirão Corrente";8;5
"354320 Ribeirão do Sul";12;1
"354323 Ribeirão dos Índios";5;1
"354340 Ribeirão Preto";243;58
"354360 Rifaina";19;6
"354370 Rincão";2;1
"354425 Rosana";23;1
"354430 Roseira";19;9
"354440 Rubiácea";8;3
"354450 Rubinéia";3;-
"354460 Sabino";8;2
"354470 Sagres";9;3
"354540 Salto Grande";4;6
"354580 Santa Bárbara d'Oeste";6;8
"354600 Santa Branca";12;6
"354610 Santa Clara d'Oeste";3;1
"354630 Santa Cruz das Palmeiras";29;12
"354660 Santa Fé do Sul";48;9
"354680 Santa Isabel";61;27
"354710 Santa Mercedes";6;1
"354740 Santa Rita d'Oeste";6;2
"354750 Santa Rita do Passa Quatro";4;-
"354760 Santa Rosa de Viterbo";7;5
"354765 Santa Salete";4;2
"354720 Santana da Ponte Pensa";3;-
"354730 Santana de Parnaíba";10;2
"354770 Santo Anastácio";26;10
"354830 Santo Expedito";5;10
"354850 Santos";366;56
"354880 São Caetano do Sul";25;6
"354900 São Francisco";5;1
"354910 São João da Boa Vista";95;24
"354950 São José da Bela Vista";20;1
"354960 São José do Barreiro";10;1
"354990 São José dos Campos";2;-
"354995 São Lourenço da Serra";36;2
"355030 São Paulo";10305;2921
"355040 São Pedro";4;6
"355050 São Pedro do Turvo";11;4
"355080 São Sebastião da Grama";19;-
"355130 Sebastianópolis do Sul";9;3
"355180 Sete Barras";4;-
"355230 Sud Mennucci";6;9
"355255 Suzanápolis";6;-
"355250 Suzano";222;50
"355260 Tabapuã";-;2
"355270 Tabatinga";20;23
"355290 Taciba";10;3
"355300 Taguaí";8;1
"355330 Tambaú";30;4
"355340 Tanabi";29;6
"355380 Taquarituba";61;14
"355385 Taquarivaí";12;2
"355390 Tarabai";28;5
"355395 Tarumã";52;11
"355400 Tatuí";87;-
"355410 Taubaté";87;44
"355430 Teodoro Sampaio";65;26
"355440 Terra Roxa";28;-
"355450 Tietê";23;-
"355460 Timburi";1;-
"355475 Trabiju";4;-
"355500 Tupã";30;2
"355510 Tupi Paulista";13;2
"355520 Turiúba";5;1
"355540 Ubatuba";187;25
"355580 Urânia";18;8
"355590 Uru";4;1
"355610 Valentim Gentil";35;7
"355630 Valparaíso";23;27
"355680 Viradouro";6;3
"355695 Vitória Brasil";2;2
"355700 Votorantim";19;5
"355710 Votuporanga";102;35
"Total";20966;5581
 Fonte: Ministério da Saúde - Sistema de Informação de Atenção Básica - SIAB 
 Consulte o site da  Secretaria Estadual de Saúde para mais informações.
