 Nascidos vivos - São Paulo
Nascim p/resid.mãe por Município e Peso ao nascer
Período:2019
"Município";"Menos de 500g";"500 a 999g";"1000 a 1499 g";"1500 a 2499 g";"2500 a 2999 g";"3000 a 3999 g";"4000g e mais";"Ignorado";"Total"
"350010 Adamantina";-;1;2;26;85;262;17;-;393
"350020 Adolfo";-;-;-;2;17;21;1;-;41
"350030 Aguaí";2;3;3;40;94;260;18;-;420
"350040 Águas da Prata";-;1;-;4;15;26;6;-;52
"350050 Águas de Lindóia";-;2;2;22;62;163;7;-;258
"350055 Águas de Santa Bárbara";-;-;-;9;7;49;3;-;68
"350060 Águas de São Pedro";-;-;-;2;6;9;2;-;19
"350070 Agudos";-;2;6;42;118;340;22;-;530
"350075 Alambari";-;-;1;3;21;53;2;-;80
"350080 Alfredo Marcondes";1;1;-;4;8;28;2;-;44
"350090 Altair";-;-;1;5;8;31;-;-;45
"350100 Altinópolis";-;-;4;11;55;120;7;-;197
"350110 Alto Alegre";-;2;-;4;5;21;2;-;34
"350115 Alumínio";-;1;1;21;48;163;9;-;243
"350120 Álvares Florence";-;-;-;2;9;20;1;-;32
"350130 Álvares Machado";-;-;-;23;72;205;26;-;326
"350140 Álvaro de Carvalho";-;-;-;2;16;31;3;-;52
"350150 Alvinlândia";-;-;-;5;11;26;2;-;44
"350160 Americana";2;15;21;161;517;1783;143;-;2642
"350170 Américo Brasiliense";-;4;1;30;128;276;20;-;459
"350180 Américo de Campos";-;1;-;7;17;31;2;-;58
"350190 Amparo";1;3;3;67;200;531;29;-;834
"350200 Analândia";-;-;-;3;15;18;3;-;39
"350210 Andradina";-;4;4;45;158;424;32;-;667
"350220 Angatuba";-;2;2;11;69;203;20;-;307
"350230 Anhembi";-;-;1;6;21;50;4;-;82
"350240 Anhumas";-;-;1;4;11;32;3;-;51
"350250 Aparecida";1;1;3;25;120;257;10;-;417
"350260 Aparecida d'Oeste";-;-;-;3;6;30;1;-;40
"350270 Apiaí";-;1;2;22;83;216;9;-;333
"350275 Araçariguama";-;-;3;39;82;250;11;-;385
"350280 Araçatuba";5;12;24;229;553;1478;93;-;2394
"350290 Araçoiaba da Serra";-;3;4;21;93;225;25;-;371
"350300 Aramina";-;-;2;6;15;41;-;-;64
"350310 Arandu";1;-;-;6;22;60;1;-;90
"350315 Arapeí";-;-;-;1;4;7;-;-;12
"350320 Araraquara";2;11;18;204;655;1618;90;-;2598
"350330 Araras";6;6;14;117;331;1008;72;-;1554
"350335 Arco-Íris";-;-;-;-;5;11;3;-;19
"350340 Arealva";-;-;-;6;20;48;3;-;77
"350350 Areias";-;-;-;2;15;21;1;-;39
