"Tabela 6778 - Número de estabelecimentos agropecuários, por tipologia, existência de energia elétrica, condição do produtor em relação às terras, residência da pessoa que dirige o estabelecimento, grupos de atividade econômica e grupos de área total"
"Variável - Número de estabelecimentos agropecuários (Unidades)"
"Cód.";"Brasil e Município";"Residência da pessoa que dirige o estabelecimento";"Grupos de atividade econômica";"Grupos de área total";"Ano x Tipologia x Existência de energia elétrica x Condição do produtor em relação às terras"
"Cód.";"Brasil e Município";"Residência da pessoa que dirige o estabelecimento";"Grupos de atividade econômica";"Grupos de área total";"2017"
"Cód.";"Brasil e Município";"Residência da pessoa que dirige o estabelecimento";"Grupos de atividade econômica";"Grupos de área total";"Total";"Agricultura familiar - sim"
"Cód.";"Brasil e Município";"Residência da pessoa que dirige o estabelecimento";"Grupos de atividade econômica";"Grupos de área total";"Total";"Total"
"Cód.";"Brasil e Município";"Residência da pessoa que dirige o estabelecimento";"Grupos de atividade econômica";"Grupos de área total";"Total";"Total"
"1";"Brasil";"Total";"Total";"Total";"5073324";"3897408"
"3500105";"Adamantina (SP)";"Total";"Total";"Total";"529";"360"
"3500204";"Adolfo (SP)";"Total";"Total";"Total";"82";"62"
"3500303";"Aguaí (SP)";"Total";"Total";"Total";"507";"368"
"3500402";"Águas da Prata (SP)";"Total";"Total";"Total";"113";"71"
"3500501";"Águas de Lindóia (SP)";"Total";"Total";"Total";"69";"42"
"3500550";"Águas de Santa Bárbara (SP)";"Total";"Total";"Total";"212";"109"
"3500709";"Agudos (SP)";"Total";"Total";"Total";"301";"171"
"3500758";"Alambari (SP)";"Total";"Total";"Total";"168";"98"
"3500808";"Alfredo Marcondes (SP)";"Total";"Total";"Total";"235";"163"
"3500907";"Altair (SP)";"Total";"Total";"Total";"103";"67"
"3501004";"Altinópolis (SP)";"Total";"Total";"Total";"282";"156"
"3501103";"Alto Alegre (SP)";"Total";"Total";"Total";"468";"369"
"3501152";"Alumínio (SP)";"Total";"Total";"Total";"8";"2"
"3501202";"Álvares Florence (SP)";"Total";"Total";"Total";"508";"357"
"3501301";"Álvares Machado (SP)";"Total";"Total";"Total";"660";"428"
"3501400";"Álvaro de Carvalho (SP)";"Total";"Total";"Total";"93";"33"
"3501509";"Alvinlândia (SP)";"Total";"Total";"Total";"102";"51"
"3501608";"Americana (SP)";"Total";"Total";"Total";"42";"33"
"3501707";"Américo Brasiliense (SP)";"Total";"Total";"Total";"17";"11"
"3501806";"Américo de Campos (SP)";"Total";"Total";"Total";"374";"318"
"3501905";"Amparo (SP)";"Total";"Total";"Total";"525";"291"
"3502002";"Analândia (SP)";"Total";"Total";"Total";"116";"44"
"3502101";"Andradina (SP)";"Total";"Total";"Total";"838";"642"
"3502200";"Angatuba (SP)";"Total";"Total";"Total";"931";"636"
"3502309";"Anhembi (SP)";"Total";"Total";"Total";"184";"92"
"3502408";"Anhumas (SP)";"Total";"Total";"Total";"223";"131"
"3502507";"Aparecida (SP)";"Total";"Total";"Total";"83";"37"
"3502606";"Aparecida d'Oeste (SP)";"Total";"Total";"Total";"397";"293"
"3502705";"Apiaí (SP)";"Total";"Total";"Total";"534";"346"
"3502754";"Araçariguama (SP)";"Total";"Total";"Total";"10";"4"
"3502804";"Araçatuba (SP)";"Total";"Total";"Total";"1020";"776"
"3502903";"Araçoiaba da Serra (SP)";"Total";"Total";"Total";"315";"174"
"3503000";"Aramina (SP)";"Total";"Total";"Total";"82";"44"
"3503109";"Arandu (SP)";"Total";"Total";"Total";"185";"98"
"3503158";"Arapeí (SP)";"Total";"Total";"Total";"83";"41"
"3503208";"Araraquara (SP)";"Total";"Total";"Total";"711";"541"
"3503307";"Araras (SP)";"Total";"Total";"Total";"358";"219"
"3503356";"Arco-Íris (SP)";"Total";"Total";"Total";"191";"116"
"3503406";"Arealva (SP)";"Total";"Total";"Total";"645";"414"
"3503505";"Areias (SP)";"Total";"Total";"Total";"82";"32"
"3503604";"Areiópolis (SP)";"Total";"Total";"Total";"21";"8"
"3503703";"Ariranha (SP)";"Total";"Total";"Total";"106";"55"
"3503802";"Artur Nogueira (SP)";"Total";"Total";"Total";"568";"383"
"3503901";"Arujá (SP)";"Total";"Total";"Total";"127";"90"
"3503950";"Aspásia (SP)";"Total";"Total";"Total";"142";"106"
"3504008";"Assis (SP)";"Total";"Total";"Total";"389";"255"
"3504107";"Atibaia (SP)";"Total";"Total";"Total";"600";"346"
"3504206";"Auriflama (SP)";"Total";"Total";"Total";"349";"236"
"3504305";"Avaí (SP)";"Total";"Total";"Total";"374";"180"
"3504404";"Avanhandava (SP)";"Total";"Total";"Total";"170";"114"
"3504503";"Avaré (SP)";"Total";"Total";"Total";"665";"354"
"3504602";"Bady Bassitt (SP)";"Total";"Total";"Total";"153";"89"
"3504701";"Balbinos (SP)";"Total";"Total";"Total";"64";"27"
"3504800";"Bálsamo (SP)";"Total";"Total";"Total";"252";"146"
"3504909";"Bananal (SP)";"Total";"Total";"Total";"236";"142"
"3505005";"Barão de Antonina (SP)";"Total";"Total";"Total";"219";"170"
"3505104";"Barbosa (SP)";"Total";"Total";"Total";"109";"69"
"3505203";"Bariri (SP)";"Total";"Total";"Total";"369";"223"
