"Tabela 3553 - Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência com rendimento de trabalho e Valor do rendimento nominal médio mensal e mediano mensal de todos os trabalhos, das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, com rendimento de trabalho, segundo a situação do domicílio, o sexo, a cor ou raça, o nível de instrução, a condição de contribuição para instituto de previdência oficial em qualquer trabalho e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência e com rendimento de trabalho (Pessoas)"
"Cód.";"Brasil e Município";"Nível de instrução";"Condição de contribuição para instituto de previdência oficial em qualquer trabalho";"Grupo de idade";"Ano x Situação do domicílio x Sexo x Cor ou raça"
"Cód.";"Brasil e Município";"Nível de instrução";"Condição de contribuição para instituto de previdência oficial em qualquer trabalho";"Grupo de idade";"2010"
"Cód.";"Brasil e Município";"Nível de instrução";"Condição de contribuição para instituto de previdência oficial em qualquer trabalho";"Grupo de idade";"Total"
"Cód.";"Brasil e Município";"Nível de instrução";"Condição de contribuição para instituto de previdência oficial em qualquer trabalho";"Grupo de idade";"Total"
"Cód.";"Brasil e Município";"Nível de instrução";"Condição de contribuição para instituto de previdência oficial em qualquer trabalho";"Grupo de idade";"Total"
"1";"Brasil";"Total";"Total";"Total";"80658004"
"1";"Brasil";"Total";"Contribuintes";"Total";"52194262"
"1";"Brasil";"Total";"Não contribuintes";"Total";"28463742"
"3500105";"Adamantina (SP)";"Total";"Total";"Total";"16317"
"3500105";"Adamantina (SP)";"Total";"Contribuintes";"Total";"12474"
"3500105";"Adamantina (SP)";"Total";"Não contribuintes";"Total";"3844"
"3500204";"Adolfo (SP)";"Total";"Total";"Total";"1629"
"3500204";"Adolfo (SP)";"Total";"Contribuintes";"Total";"1208"
"3500204";"Adolfo (SP)";"Total";"Não contribuintes";"Total";"420"
"3500303";"Aguaí (SP)";"Total";"Total";"Total";"14530"
"3500303";"Aguaí (SP)";"Total";"Contribuintes";"Total";"10198"
"3500303";"Aguaí (SP)";"Total";"Não contribuintes";"Total";"4332"
"3500402";"Águas da Prata (SP)";"Total";"Total";"Total";"3653"
"3500402";"Águas da Prata (SP)";"Total";"Contribuintes";"Total";"2351"
"3500402";"Águas da Prata (SP)";"Total";"Não contribuintes";"Total";"1301"
"3500501";"Águas de Lindóia (SP)";"Total";"Total";"Total";"8513"
"3500501";"Águas de Lindóia (SP)";"Total";"Contribuintes";"Total";"5916"
"3500501";"Águas de Lindóia (SP)";"Total";"Não contribuintes";"Total";"2597"
"3500550";"Águas de Santa Bárbara (SP)";"Total";"Total";"Total";"2557"
"3500550";"Águas de Santa Bárbara (SP)";"Total";"Contribuintes";"Total";"1816"
"3500550";"Águas de Santa Bárbara (SP)";"Total";"Não contribuintes";"Total";"742"
"3500600";"Águas de São Pedro (SP)";"Total";"Total";"Total";"1271"
"3500600";"Águas de São Pedro (SP)";"Total";"Contribuintes";"Total";"894"
"3500600";"Águas de São Pedro (SP)";"Total";"Não contribuintes";"Total";"377"
"3500709";"Agudos (SP)";"Total";"Total";"Total";"16150"
"3500709";"Agudos (SP)";"Total";"Contribuintes";"Total";"12616"
"3500709";"Agudos (SP)";"Total";"Não contribuintes";"Total";"3534"
"3500758";"Alambari (SP)";"Total";"Total";"Total";"2052"
"3500758";"Alambari (SP)";"Total";"Contribuintes";"Total";"1458"
"3500758";"Alambari (SP)";"Total";"Não contribuintes";"Total";"595"
"3500808";"Alfredo Marcondes (SP)";"Total";"Total";"Total";"1620"
"3500808";"Alfredo Marcondes (SP)";"Total";"Contribuintes";"Total";"1154"
"3500808";"Alfredo Marcondes (SP)";"Total";"Não contribuintes";"Total";"467"
"3500907";"Altair (SP)";"Total";"Total";"Total";"1704"
"3500907";"Altair (SP)";"Total";"Contribuintes";"Total";"1340"
"3500907";"Altair (SP)";"Total";"Não contribuintes";"Total";"364"
"3501004";"Altinópolis (SP)";"Total";"Total";"Total";"7763"
"3501004";"Altinópolis (SP)";"Total";"Contribuintes";"Total";"5188"
"3501004";"Altinópolis (SP)";"Total";"Não contribuintes";"Total";"2575"
"3501103";"Alto Alegre (SP)";"Total";"Total";"Total";"1931"
"3501103";"Alto Alegre (SP)";"Total";"Contribuintes";"Total";"1327"
"3501103";"Alto Alegre (SP)";"Total";"Não contribuintes";"Total";"603"
"3501152";"Alumínio (SP)";"Total";"Total";"Total";"6983"
"3501152";"Alumínio (SP)";"Total";"Contribuintes";"Total";"5480"
"3501152";"Alumínio (SP)";"Total";"Não contribuintes";"Total";"1503"
"3501202";"Álvares Florence (SP)";"Total";"Total";"Total";"1685"
"3501202";"Álvares Florence (SP)";"Total";"Contribuintes";"Total";"1087"
"3501202";"Álvares Florence (SP)";"Total";"Não contribuintes";"Total";"598"
"3501301";"Álvares Machado (SP)";"Total";"Total";"Total";"10852"
"3501301";"Álvares Machado (SP)";"Total";"Contribuintes";"Total";"7503"
"3501301";"Álvares Machado (SP)";"Total";"Não contribuintes";"Total";"3349"
"3501400";"Álvaro de Carvalho (SP)";"Total";"Total";"Total";"1423"
"3501400";"Álvaro de Carvalho (SP)";"Total";"Contribuintes";"Total";"1101"
"3501400";"Álvaro de Carvalho (SP)";"Total";"Não contribuintes";"Total";"322"
"3501509";"Alvinlândia (SP)";"Total";"Total";"Total";"1283"
"3501509";"Alvinlândia (SP)";"Total";"Contribuintes";"Total";"1008"
"3501509";"Alvinlândia (SP)";"Total";"Não contribuintes";"Total";"275"
"3501608";"Americana (SP)";"Total";"Total";"Total";"111429"
"3501608";"Americana (SP)";"Total";"Contribuintes";"Total";"86052"
"3501608";"Americana (SP)";"Total";"Não contribuintes";"Total";"25377"
"3501707";"Américo Brasiliense (SP)";"Total";"Total";"Total";"16137"
"3501707";"Américo Brasiliense (SP)";"Total";"Contribuintes";"Total";"13420"
"3501707";"Américo Brasiliense (SP)";"Total";"Não contribuintes";"Total";"2717"
"3501806";"Américo de Campos (SP)";"Total";"Total";"Total";"2686"
"3501806";"Américo de Campos (SP)";"Total";"Contribuintes";"Total";"1700"
"3501806";"Américo de Campos (SP)";"Total";"Não contribuintes";"Total";"986"
"3501905";"Amparo (SP)";"Total";"Total";"Total";"35096"
"3501905";"Amparo (SP)";"Total";"Contribuintes";"Total";"28249"
"3501905";"Amparo (SP)";"Total";"Não contribuintes";"Total";"6846"
"3502002";"Analândia (SP)";"Total";"Total";"Total";"2137"
"3502002";"Analândia (SP)";"Total";"Contribuintes";"Total";"1536"
"3502002";"Analândia (SP)";"Total";"Não contribuintes";"Total";"601"
"3502101";"Andradina (SP)";"Total";"Total";"Total";"25674"
"3502101";"Andradina (SP)";"Total";"Contribuintes";"Total";"18603"
"3502101";"Andradina (SP)";"Total";"Não contribuintes";"Total";"7071"
"3502200";"Angatuba (SP)";"Total";"Total";"Total";"9957"
"3502200";"Angatuba (SP)";"Total";"Contribuintes";"Total";"6961"
"3502200";"Angatuba (SP)";"Total";"Não contribuintes";"Total";"2995"
