INTOXICAÇÃO EXÓGENA - Notificações registradas no Sinan Net - São Paulo
Notificações por Município de notificação e Agente Tóxico
Período:2020
"Município de notificação";"Ign/Branco";"Medicamento";"Agrotóxico agrícola";"Agrotóxico doméstico";"Agrotóxico saúde pública";"Raticida";"Prod. veterinário";"Prod. uso domiciliar";"Cosmético";"Prod. químico";"Metal";"Drogas de abuso";"Planta tóxica";"Alimento e bebida";"Outro";"Total"
"350020 Adolfo";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"350030 Aguaí";-;18;2;-;-;-;-;-;-;1;-;-;-;-;-;21
"350040 Águas da Prata";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350050 Águas de Lindóia";-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"350055 Águas de Santa Bárbara";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350060 Águas de São Pedro";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"350070 Agudos";1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350100 Altinópolis";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350115 Alumínio";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350160 Americana";3;72;2;1;-;4;1;6;-;3;-;3;-;2;1;98
"350170 Américo Brasiliense";-;30;-;-;-;2;-;-;1;1;1;-;-;-;-;35
"350180 Américo de Campos";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350190 Amparo";1;43;2;-;-;-;-;1;-;3;-;1;-;-;3;54
"350210 Andradina";1;19;2;-;-;3;-;-;-;-;-;-;1;1;-;27
"350220 Angatuba";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350230 Anhembi";1;1;1;-;-;-;-;1;-;-;-;-;-;2;2;8
"350250 Aparecida";2;6;-;-;-;-;-;2;1;-;-;-;-;-;-;11
"350270 Apiaí";-;13;3;-;-;2;-;-;-;-;-;-;-;-;-;18
"350275 Araçariguama";-;6;-;-;-;-;-;1;-;-;-;-;-;-;-;7
"350280 Araçatuba";-;36;-;3;-;1;-;3;-;1;-;1;-;-;1;46
"350310 Arandu";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
