"Tabela 3268 - Domicílios particulares permanentes, por classes de rendimento nominal mensal domiciliar"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.";"Brasil e Município";"Ano x Classes de rendimento nominal mensal domiciliar"
"Cód.";"Brasil e Município";"2010"
"Cód.";"Brasil e Município";"Total";"Até 1/2 salário mínimo";"Mais de 1/2 a 1 salário mínimo"
"1";"Brasil";"57324167";"2379681";"8150079"
"3500105";"Adamantina (SP)";"11328";"62";"1062"
"3500204";"Adolfo (SP)";"1200";"14";"102"
"3500303";"Aguaí (SP)";"9881";"84";"1093"
"3500402";"Águas da Prata (SP)";"2506";"8";"260"
"3500501";"Águas de Lindóia (SP)";"5595";"27";"457"
"3500550";"Águas de Santa Bárbara (SP)";"1871";"11";"153"
"3500600";"Águas de São Pedro (SP)";"990";"7";"33"
"3500709";"Agudos (SP)";"10171";"107";"910"
"3500758";"Alambari (SP)";"1525";"26";"184"
"3500808";"Alfredo Marcondes (SP)";"1348";"11";"159"
"3500907";"Altair (SP)";"1183";"15";"131"
"3501004";"Altinópolis (SP)";"4875";"24";"495"
"3501103";"Alto Alegre (SP)";"1375";"15";"157"
"3501152";"Alumínio (SP)";"4985";"55";"303"
"3501202";"Álvares Florence (SP)";"1428";"23";"205"
"3501301";"Álvares Machado (SP)";"7421";"112";"850"
"3501400";"Álvaro de Carvalho (SP)";"1012";"16";"129"
"3501509";"Alvinlândia (SP)";"910";"11";"118"
"3501608";"Americana (SP)";"67640";"166";"2530"
"3501707";"Américo Brasiliense (SP)";"10284";"64";"680"
"3501806";"Américo de Campos (SP)";"1976";"16";"266"
"3501905";"Amparo (SP)";"20546";"55";"1041"
"3502002";"Analândia (SP)";"1374";"14";"98"
"3502101";"Andradina (SP)";"18080";"158";"1832"
"3502200";"Angatuba (SP)";"7046";"59";"834"
"3502309";"Anhembi (SP)";"1772";"14";"186"
"3502408";"Anhumas (SP)";"1154";"19";"132"
"3502507";"Aparecida (SP)";"10343";"93";"970"
"3502606";"Aparecida d'Oeste (SP)";"1553";"25";"219"
"3502705";"Apiaí (SP)";"7566";"362";"1640"
"3502754";"Araçariguama (SP)";"4938";"43";"384"
"3502804";"Araçatuba (SP)";"60614";"343";"4711"
"3502903";"Araçoiaba da Serra (SP)";"8568";"59";"736"
"3503000";"Aramina (SP)";"1649";"15";"154"
"3503109";"Arandu (SP)";"1899";"8";"213"
"3503158";"Arapeí (SP)";"796";"28";"142"
"3503208";"Araraquara (SP)";"68750";"303";"4213"
"3503307";"Araras (SP)";"36333";"165";"1965"
"3503356";"Arco-Íris (SP)";"643";"13";"109"
"3503406";"Arealva (SP)";"2661";"33";"261"
"3503505";"Areias (SP)";"1082";"23";"233"
"3503604";"Areiópolis (SP)";"3028";"13";"235"
"3503703";"Ariranha (SP)";"2691";"22";"159"
"3503802";"Artur Nogueira (SP)";"13479";"48";"933"
"3503901";"Arujá (SP)";"21436";"244";"1712"
"3503950";"Aspásia (SP)";"605";"8";"72"
"3504008";"Assis (SP)";"31111";"207";"2654"
"3504107";"Atibaia (SP)";"38353";"169";"2337"
"3504206";"Auriflama (SP)";"4721";"22";"415"
"3504305";"Avaí (SP)";"1562";"43";"228"
"3504404";"Avanhandava (SP)";"3069";"44";"329"
"3504503";"Avaré (SP)";"26241";"184";"2194"
"3504602";"Bady Bassitt (SP)";"4710";"15";"271"
"3504701";"Balbinos (SP)";"471";"7";"48"
"3504800";"Bálsamo (SP)";"2753";"15";"251"
"3504909";"Bananal (SP)";"3283";"73";"597"
"3505005";"Barão de Antonina (SP)";"1025";"49";"197"
"3505104";"Barbosa (SP)";"2051";"24";"259"
"3505203";"Bariri (SP)";"9992";"26";"710"
"3505302";"Barra Bonita (SP)";"11175";"49";"721"
"3505351";"Barra do Chapéu (SP)";"1571";"142";"391"
"3505401";"Barra do Turvo (SP)";"2404";"148";"558"
"3505500";"Barretos (SP)";"36142";"188";"2868"
"3505609";"Barrinha (SP)";"8415";"90";"623"
"3505708";"Barueri (SP)";"71790";"582";"5199"
"3505807";"Bastos (SP)";"6350";"53";"612"
"3505906";"Batatais (SP)";"17740";"103";"1240"
"3506003";"Bauru (SP)";"109875";"693";"6731"
"3506102";"Bebedouro (SP)";"23709";"193";"2016"
"3506201";"Bento de Abreu (SP)";"862";"7";"57"
"3506300";"Bernardino de Campos (SP)";"3493";"31";"403"
"3506359";"Bertioga (SP)";"14536";"134";"1161"
"3506409";"Bilac (SP)";"2392";"15";"193"
"3506508";"Birigui (SP)";"35632";"145";"2125"
"3506607";"Biritiba Mirim (SP)";"8400";"134";"1272"
"3506706";"Boa Esperança do Sul (SP)";"4149";"31";"440"
"3506805";"Bocaina (SP)";"3311";"16";"187"
"3506904";"Bofete (SP)";"3164";"51";"466"
"3507001";"Boituva (SP)";"14739";"82";"977"
"3507100";"Bom Jesus dos Perdões (SP)";"6118";"42";"482"
"3507159";"Bom Sucesso de Itararé (SP)";"991";"59";"175"
"3507209";"Borá (SP)";"239";"2";"14"
"3507308";"Boracéia (SP)";"1256";"2";"69"
"3507407";"Borborema (SP)";"4774";"37";"548"
"3507456";"Borebi (SP)";"701";"6";"71"
"3507506";"Botucatu (SP)";"41102";"253";"2679"
"3507605";"Bragança Paulista (SP)";"44752";"183";"2890"
"3507704";"Braúna (SP)";"1588";"13";"129"
"3507753";"Brejo Alegre (SP)";"811";"3";"111"
"3507803";"Brodowski (SP)";"6385";"37";"508"
"3507902";"Brotas (SP)";"6738";"34";"571"
"3508009";"Buri (SP)";"5512";"137";"1151"
"3508108";"Buritama (SP)";"5190";"45";"559"
"3508207";"Buritizal (SP)";"1373";"22";"163"
"3508306";"Cabrália Paulista (SP)";"1380";"15";"171"
"3508405";"Cabreúva (SP)";"11909";"61";"694"
"3508504";"Caçapava (SP)";"24834";"195";"1849"
"3508603";"Cachoeira Paulista (SP)";"9068";"95";"1059"
"3508702";"Caconde (SP)";"5691";"56";"1130"
"3508801";"Cafelândia (SP)";"5350";"40";"562"
"3508900";"Caiabu (SP)";"1390";"30";"145"
"3509007";"Caieiras (SP)";"25411";"231";"1682"
"3509106";"Caiuá (SP)";"1622";"48";"307"
"3509205";"Cajamar (SP)";"19269";"190";"1393"
"3509254";"Cajati (SP)";"8474";"271";"1556"
"3509304";"Cajobi (SP)";"3105";"16";"252"
"3509403";"Cajuru (SP)";"7209";"61";"768"
"3509452";"Campina do Monte Alegre (SP)";"1808";"31";"297"
"3509502";"Campinas (SP)";"348268";"1523";"16782"
"3509601";"Campo Limpo Paulista (SP)";"21958";"188";"1355"
"3509700";"Campos do Jordão (SP)";"14299";"108";"1306"
"3509809";"Campos Novos Paulista (SP)";"1490";"29";"242"
"3509908";"Cananéia (SP)";"3683";"101";"604"
"3509957";"Canas (SP)";"1205";"26";"178"
"3510005";"Cândido Mota (SP)";"9621";"128";"1055"
"3510104";"Cândido Rodrigues (SP)";"868";"5";"54"
"3510153";"Canitar (SP)";"1218";"10";"132"
"3510203";"Capão Bonito (SP)";"13600";"409";"2150"
"3510302";"Capela do Alto (SP)";"5240";"66";"690"
"3510401";"Capivari (SP)";"13988";"67";"831"
"3510500";"Caraguatatuba (SP)";"31934";"380";"3072"
"3510609";"Carapicuíba (SP)";"108592";"815";"7960"
"3510708";"Cardoso (SP)";"4134";"63";"721"
"3510807";"Casa Branca (SP)";"8368";"51";"810"
"3510906";"Cássia dos Coqueiros (SP)";"837";"11";"121"
"3511003";"Castilho (SP)";"5551";"158";"854"
"3511102";"Catanduva (SP)";"37296";"149";"2473"
"3511201";"Catiguá (SP)";"2239";"9";"106"
"3511300";"Cedral (SP)";"2615";"9";"177"
"3511409";"Cerqueira César (SP)";"5532";"36";"595"
"3511508";"Cerquilho (SP)";"12192";"23";"444"
"3511607";"Cesário Lange (SP)";"4469";"38";"350"
"3511706";"Charqueada (SP)";"4413";"33";"271"
"3511904";"Clementina (SP)";"2159";"12";"137"
"3512001";"Colina (SP)";"5313";"46";"479"
"3512100";"Colômbia (SP)";"1808";"29";"173"
"3512209";"Conchal (SP)";"7149";"36";"538"
"3512308";"Conchas (SP)";"5209";"54";"523"
"3512407";"Cordeirópolis (SP)";"6413";"21";"335"
"3512506";"Coroados (SP)";"1697";"23";"140"
"3512605";"Coronel Macedo (SP)";"1627";"69";"346"
"3512704";"Corumbataí (SP)";"1213";"15";"78"
"3512803";"Cosmópolis (SP)";"17768";"150";"1013"
"3512902";"Cosmorama (SP)";"2565";"37";"318"
"3513009";"Cotia (SP)";"59038";"488";"3846"
