"Tabela 3548 - Pessoas de 10 anos ou mais de idade, Valor do rendimento nominal médio mensal, e mediano mensal, das pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência, segundo a situação do domicílio, o sexo, as classes de rendimento nominal mensal e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.";"Brasil e Município";"Classes de rendimento nominal mensal";"Grupo de idade";"Ano x Condição de atividade x Situação do domicílio x Sexo"
"Cód.";"Brasil e Município";"Classes de rendimento nominal mensal";"Grupo de idade";"2010"
"Cód.";"Brasil e Município";"Classes de rendimento nominal mensal";"Grupo de idade";"Total";;;"Economicamente ativas"
"Cód.";"Brasil e Município";"Classes de rendimento nominal mensal";"Grupo de idade";"Total";;;"Total"
"Cód.";"Brasil e Município";"Classes de rendimento nominal mensal";"Grupo de idade";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres"
"1";"Brasil";"Total";"Total";"161981299";"78757681";"83223618";"93504659";"52826008";"40678651"
"3500105";"Adamantina (SP)";"Total";"Total";"30169";"14528";"15641";"17855";"9950";"7905"
"3500204";"Adolfo (SP)";"Total";"Total";"3136";"1551";"1585";"1798";"1050";"748"
"3500303";"Aguaí (SP)";"Total";"Total";"27555";"13878";"13677";"16167";"9835";"6333"
"3500402";"Águas da Prata (SP)";"Total";"Total";"6728";"3323";"3405";"3980";"2256";"1724"
"3500501";"Águas de Lindóia (SP)";"Total";"Total";"15170";"7366";"7803";"9005";"4980";"4025"
"3500550";"Águas de Santa Bárbara (SP)";"Total";"Total";"4828";"2369";"2460";"2675";"1557";"1118"
"3500600";"Águas de São Pedro (SP)";"Total";"Total";"2441";"1134";"1307";"1405";"703";"701"
"3500709";"Agudos (SP)";"Total";"Total";"29766";"14680";"15086";"17892";"9792";"8100"
"3500758";"Alambari (SP)";"Total";"Total";"4134";"2097";"2037";"2326";"1432";"894"
"3500808";"Alfredo Marcondes (SP)";"Total";"Total";"3467";"1758";"1708";"1896";"1122";"775"
"3500907";"Altair (SP)";"Total";"Total";"3241";"1735";"1506";"1838";"1257";"581"
"3501004";"Altinópolis (SP)";"Total";"Total";"13654";"6830";"6824";"8254";"4985";"3269"
"3501103";"Alto Alegre (SP)";"Total";"Total";"3655";"1888";"1767";"2152";"1291";"861"
"3501152";"Alumínio (SP)";"Total";"Total";"14186";"7154";"7032";"8021";"4959";"3062"
"3501202";"Álvares Florence (SP)";"Total";"Total";"3545";"1826";"1719";"1892";"1189";"703"
"3501301";"Álvares Machado (SP)";"Total";"Total";"20366";"10122";"10244";"12175";"6960";"5215"
"3501400";"Álvaro de Carvalho (SP)";"Total";"Total";"4134";"2720";"1414";"1569";"900";"669"
"3501509";"Alvinlândia (SP)";"Total";"Total";"2556";"1268";"1288";"1398";"841";"557"
"3501608";"Americana (SP)";"Total";"Total";"186763";"91112";"95651";"119201";"66196";"53006"
"3501707";"Américo Brasiliense (SP)";"Total";"Total";"29378";"14748";"14630";"18579";"10945";"7633"
